field,type,label
form1[0].BodyPage9[0].P9_N7R5DocName_FLD[0],text,"IF PRESCRIBED, GIVE DOCTOR NAME (IF KNOWN)"
form1[0].BodyPage9[0].P9_N7R5Reason_FLD[0],text,REASON FOR MEDICINE (IF KNOWN)
form1[0].BodyPage9[0].P9_N7R6MedName_FLD[0],text,Row 6 Name of Medicine
form1[0].BodyPage9[0].P9_N7R6DocName_FLD[0],text,"IF PRESCRIBED, GIVE DOCTOR NAME (IF KNOWN)"
form1[0].BodyPage9[0].P9_N7R6Reason_FLD[0],text,REASON FOR MEDICINE (IF KNOWN)
form1[0].BodyPage9[0].P9_N7R7MedName_FLD[0],text,Row 7 Name of Medicine
form1[0].BodyPage9[0].P9_N7R7DocName_FLD[0],text,"IF PRESCRIBED, GIVE DOCTOR NAME (IF KNOWN)"
form1[0].BodyPage9[0].P9_N7R7Reason_FLD[0],text,REASON FOR MEDICINE (IF KNOWN)
form1[0].BodyPage9[0].P9_N7R8MedName_FLD[0],text,Row 8 Name of Medicine
form1[0].BodyPage9[0].P9_N7R8DocName_FLD[0],text,"IF PRESCRIBED, GIVE DOCTOR NAME (IF KNOWN)"
form1[0].BodyPage9[0].P9_N7R8Reason_FLD[0],text,REASON FOR MEDICINE (IF KNOWN)
form1[0].BodyPage9[0].P9_N7R9MedName_FLD[0],text,Row 9 Name of Medicine
form1[0].BodyPage9[0].P9_N7R9DocName_FLD[0],text,"IF PRESCRIBED, GIVE DOCTOR NAME (IF KNOWN)"
